price;Storage_Level;Feed_in;Feed_out;hourly_profit;profit_acc;
    65.00000;     0.50005;     0.00000;     0.00000;     0.00000;   333.27234;
    69.00000;     0.25002;     0.00000;     0.25000;    17.25000;   350.52234;
    68.00000;     0.00000;     0.00000;     0.25000;    17.00000;   367.52234;
    52.00000;     0.00000;     0.00000;     0.00000;     0.00000;   367.52234;
    48.00000;     0.00000;     0.00000;     0.00000;     0.00000;   367.52234;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   367.52234;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   367.52234;
    37.00000;     0.00000;     0.00000;     0.00000;     0.00000;   367.52234;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;   367.52234;
    36.00000;     0.00011;     0.00011;     0.00000;    -0.00458;   367.51776;
    35.00000;     0.25011;     0.25000;     0.00000;   -10.60606;   356.91170;
    32.00000;     0.50009;     0.25000;     0.00000;    -9.69697;   347.21473;
    28.00000;     0.75005;     0.25000;     0.00000;    -8.48485;   338.72988;
    33.00000;     1.00000;     0.25000;     0.00000;   -10.00000;   328.72988;
    42.00000;     0.99993;     0.00000;     0.00000;     0.00000;   328.72988;
    48.00000;     0.99986;     0.00000;     0.00000;     0.00000;   328.72988;
    48.00000;     0.99979;     0.00000;     0.00000;     0.00000;   328.72988;
    47.00000;     0.99972;     0.00000;     0.00000;     0.00000;   328.72988;
    48.00000;     0.99965;     0.00000;     0.00000;     0.00000;   328.72988;
    50.00000;     0.74958;     0.00000;     0.25000;    12.50000;   341.22988;
    50.00000;     0.50019;     0.00000;     0.24934;    12.46675;   353.69663;
    48.00000;     0.50016;     0.00000;     0.00000;     0.00000;   353.69663;
    45.00000;     0.50012;     0.00000;     0.00000;     0.00000;   353.69663;
    47.00000;     0.50009;     0.00000;     0.00000;     0.00000;   353.69663;
    50.00000;     0.50005;     0.00000;     0.00000;     0.00000;   353.69663;
    63.00000;     0.25002;     0.00000;     0.25000;    15.75000;   369.44663;
    55.00000;     0.00000;     0.00000;     0.25000;    13.75000;   383.19663;
    49.00000;     0.00000;     0.00000;     0.00000;     0.00000;   383.19663;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   383.19663;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;   383.19663;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   383.19663;
    38.00000;     0.00000;     0.00000;     0.00000;     0.00000;   383.19663;
    36.00000;     0.00000;     0.00000;     0.00000;     0.00000;   383.19663;
    31.00000;     0.25000;     0.25000;     0.00000;    -9.39394;   373.80269;
    32.00000;     0.49998;     0.25000;     0.00000;    -9.69697;   364.10572;
    27.00000;     0.74995;     0.25000;     0.00000;    -8.18182;   355.92390;
    27.00000;     0.99990;     0.25000;     0.00000;    -8.18182;   347.74209;
    35.00000;     1.00000;     0.00017;     0.00000;    -0.00742;   347.73466;
    39.00000;     1.00000;     0.00007;     0.00000;    -0.00331;   347.73135;
    50.00000;     1.00000;     0.00007;     0.00000;    -0.00424;   347.72711;
    52.00000;     0.99993;     0.00000;     0.00000;     0.00000;   347.72711;
    52.00000;     0.99986;     0.00000;     0.00000;     0.00000;   347.72711;
    53.00000;     0.99979;     0.00000;     0.00000;     0.00000;   347.72711;
    53.00000;     0.99972;     0.00000;     0.00000;     0.00000;   347.72711;
    53.00000;     0.99965;     0.00000;     0.00000;     0.00000;   347.72711;
    53.00000;     0.99958;     0.00000;     0.00000;     0.00000;   347.72711;
    52.00000;     0.99951;     0.00000;     0.00000;     0.00000;   347.72711;
    52.00000;     0.99944;     0.00000;     0.00000;     0.00000;   347.72711;
    62.00000;     0.74937;     0.00000;     0.25000;    15.50000;   363.22711;
    70.00000;     0.49932;     0.00000;     0.25000;    17.50000;   380.72711;
    71.00000;     0.24928;     0.00000;     0.25000;    17.75000;   398.47711;
    61.00000;     0.00000;     0.00000;     0.24927;    15.20518;   413.68230;
    49.00000;     0.00000;     0.00000;     0.00000;     0.00000;   413.68230;
    44.00000;     0.00000;     0.00000;     0.00000;     0.00000;   413.68230;
    49.00000;     0.00000;     0.00000;     0.00000;     0.00000;   413.68230;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   413.68230;
    39.00000;     0.00011;     0.00011;     0.00000;    -0.00496;   413.67733;
    38.00000;     0.25011;     0.25000;     0.00000;   -11.51515;   402.16218;
    38.00000;     0.50009;     0.25000;     0.00000;   -11.51515;   390.64703;
    35.00000;     0.75005;     0.25000;     0.00000;   -10.60606;   380.04097;
    34.00000;     1.00000;     0.25000;     0.00000;   -10.30303;   369.73794;
    41.00000;     1.00000;     0.00007;     0.00000;    -0.00348;   369.73446;
    42.00000;     1.00000;     0.00007;     0.00000;    -0.00356;   369.73089;
    56.00000;     0.99993;     0.00000;     0.00000;     0.00000;   369.73089;
    65.00000;     0.75011;     0.00000;     0.24975;    16.23407;   385.96497;
    66.00000;     0.50005;     0.00000;     0.25000;    16.50000;   402.46497;
    67.00000;     0.25002;     0.00000;     0.25000;    16.75000;   419.21497;
    66.00000;     0.00000;     0.00000;     0.25000;    16.50000;   435.71497;
    61.00000;     0.00000;     0.00000;     0.00000;     0.00000;   435.71497;
    52.00000;     0.00000;     0.00000;     0.00000;     0.00000;   435.71497;
    51.00000;     0.00007;     0.00007;     0.00000;    -0.00433;   435.71064;
    49.00000;     0.25007;     0.25000;     0.00000;   -14.84848;   420.86216;
    51.00000;     0.50005;     0.25000;     0.00000;   -15.45455;   405.40761;
    63.00000;     0.25002;     0.00000;     0.25000;    15.75000;   421.15761;
    62.00000;     0.00000;     0.00000;     0.25000;    15.50000;   436.65761;
    52.00000;     0.00000;     0.00000;     0.00000;     0.00000;   436.65761;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   436.65761;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   436.65761;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   436.65761;
    39.00000;     0.00000;     0.00000;     0.00000;     0.00000;   436.65761;
    43.00000;     0.00000;     0.00000;     0.00000;     0.00000;   436.65761;
    39.00000;     0.00000;     0.00000;     0.00000;     0.00000;   436.65761;
    35.00000;     0.00000;     0.00000;     0.00000;     0.00000;   436.65761;
    33.00000;     0.25000;     0.25000;     0.00000;   -10.00000;   426.65761;
    33.00000;     0.49998;     0.25000;     0.00000;   -10.00000;   416.65761;
    32.00000;     0.74995;     0.25000;     0.00000;    -9.69697;   406.96064;
    31.00000;     0.99990;     0.25000;     0.00000;    -9.39394;   397.56670;
    35.00000;     0.99983;     0.00000;     0.00000;     0.00000;   397.56670;
    41.00000;     0.74976;     0.00000;     0.25000;    10.25000;   407.81670;
    41.00000;     0.50030;     0.00000;     0.24940;    10.22560;   418.04230;
    41.00000;     0.50026;     0.00000;     0.00000;     0.00000;   418.04230;
